"avg_r"	"#hitsAntd"	"totalNumAnnotations"	"#hitsAntdH_i"	"numAnnotationsH_i"	"csvListOfPairedRs"	"scoreDistribution"	"annotatorId"
0.2018	5	105	0	0	"49=0.141, 50=0.561, 76=0.2182, 88=0.0, 2=-0.1424, 64=0.0, 65=0.7701, 66=0.2676, 90=0.0, 81=-0.2752, 79=0.5421, 4=0.3389"	"0=88.6%, 1=7.6%, 2=2.9%, 3=1.0%"	"67"
0.3514	7	117	0	0	"203=0.3211, 48=0.2559, 207=-0.028, 49=0.4509, 208=0.7105, 62=-0.1595, 50=0.1282, 117=0.4283, 2=0.5156, 4=0.5261, 179=0.5769, 69=0.4909"	"0=50.4%, 1=34.2%, 2=9.4%, 3=6.0%"	"68"
0.1941	1	22	0	0	"68=0.4909, 50=-0.2762, 4=0.204, 49=0.3576"	"0=68.2%, 1=13.6%, 2=9.1%, 3=9.1%"	"69"
0.4793	1	20	0	0	"2=0.4481, 167=0.8674, 171=0.4901, 48=0.1115"	"0=80.0%, 1=15.0%, 2=0.0%, 3=5.0%"	"172"
0.4166	1	20	0	0	"2=0.5847, 167=0.4588, 172=0.4901, 48=0.1327"	"0=80.0%, 1=20.0%, 2=0.0%, 3=0.0%"	"171"
0.0498	2	30	2	30	"216=-0.183, 150=0.1538, 229=0.3203, 48=-0.0407, 49=0.0982, 43=0.0, 179=0.0"	"0=93.3%, 1=0.0%, 2=6.7%, 3=0.0%"	"222"
0.2052	1	15	0	0	"158=0.3536, 2=0.0873, 48=0.1746"	"0=40.0%, 1=53.3%, 2=6.7%, 3=0.0%"	"183"
0.3885	1	15	0	0	"158=0.3549, 2=0.4198, 179=0.4841, 48=0.2953"	"0=26.7%, 1=46.7%, 2=26.7%, 3=0.0%"	"180"
0.3198	49	912	0	0	"150=0.4389, 157=0.5222, 211=0.0446, 159=0.3713, 158=0.2079, 62=-0.1678, 178=0.3275, 192=0.4866, 133=0.1773, 132=0.6516, 117=0.3756, 53=0.5022, 179=0.529, 67=-0.1424, 82=0.2737, 139=0.7327, 81=0.2246, 172=0.4481, 171=0.5847, 27=0.3833, 20=0.2585, 22=0.1241, 49=-0.1229, 156=0.638, 28=0.3929, 43=0.3016, 40=0.4451, 41=0.3372, 1=0.2109, 183=0.0873, 180=0.4198, 5=0.2907, 4=0.29, 206=0.3359, 194=0.3879, 9=0.2967, 188=0.5282, 166=0.437, 68=0.5156, 203=0.2496, 145=0.6096, 205=0.5009, 204=0.5892, 207=0.2745, 177=0.3855, 209=0.2306, 208=0.5322, 6=0.2907, 120=0.465, 121=0.1031, 122=0.0746, 123=0.4031, 124=-0.098, 125=0.1925, 126=0.5713, 127=0.3793, 128=0.6447, 165=0.5599, 100=-0.0161, 167=0.3389, 160=0.3219, 79=-0.0721, 78=0.5049, 115=0.0523, 39=0.1147, 48=0.2095, 76=0.0207, 33=0.3595, 37=0.3173, 131=0.2851, 35=0.425, 19=0.3602, 168=0.3333, 50=0.0059"	"0=33.9%, 1=33.0%, 2=21.4%, 3=11.7%"	"2"
0.0779	6	90	0	0	"48=-0.1031, 192=0.0655, 131=0.3936, 2=0.1085, 4=0.2438, 179=-0.271, 188=0.1077"	"0=12.2%, 1=35.6%, 2=10.0%, 3=42.2%"	"187"
0.2015	1	36	0	0	"1=0.2044, 2=0.2907, 5=0.2364, 4=0.0745"	"0=13.9%, 1=27.8%, 2=41.7%, 3=16.7%"	"6"
0.4358	1	15	0	0	"2=0.5282, 4=0.3953, 48=0.384"	"0=33.3%, 1=53.3%, 2=13.3%, 3=0.0%"	"188"
0.5809	1	15	0	0	"201=0.6071, 4=0.3139, 179=0.8217"	"0=53.3%, 1=33.3%, 2=0.0%, 3=13.3%"	"202"
0.094	1	15	0	0	"131=0.2626, 2=0.1663, 4=-0.1469"	"0=20.0%, 1=40.0%, 2=26.7%, 3=13.3%"	"196"
-0.2007	1	15	1	15	"179=-0.3114, 43=-0.4743, 48=0.3581, 49=-0.375"	"0=0.0%, 1=40.0%, 2=20.0%, 3=40.0%"	"221"
0.177	2	30	0	0	"188=0.3169, 2=0.2672, 4=0.024, 48=0.1001"	"0=33.3%, 1=53.3%, 2=3.3%, 3=10.0%"	"185"
0.1405	1	20	0	0	"100=0.1398, 101=0.0824, 4=0.3396, 96=0.0"	"0=5.0%, 1=25.0%, 2=35.0%, 3=35.0%"	"99"
0.3448	2	40	0	0	"119=0.6202, 4=0.0779, 48=0.2045, 96=0.4768"	"0=47.5%, 1=35.0%, 2=10.0%, 3=7.5%"	"98"
0.201	1	16	0	0	"115=0.0, 158=0.114, 2=0.3333, 48=0.3568"	"0=87.5%, 1=12.5%, 2=0.0%, 3=0.0%"	"168"
0.3582	1	15	1	15	"216=0.2345, 150=0.6138, 48=0.5847, 49=0.0"	"0=40.0%, 1=60.0%, 2=0.0%, 3=0.0%"	"229"
-0.2187	1	15	1	15	"150=-0.0222, 217=-0.4286, 48=-0.2319, 49=-0.1923"	"0=33.3%, 1=40.0%, 2=26.7%, 3=0.0%"	"228"
-0.0857	2	30	2	30	"216=-0.0714, 150=-0.0484, 48=-0.1847, 49=-0.0383"	"0=90.0%, 1=10.0%, 2=0.0%, 3=0.0%"	"227"
0.1273	1	20	0	0	"67=0.0, 64=0.3658, 4=0.2093, 49=-0.0657"	"0=65.0%, 1=25.0%, 2=5.0%, 3=5.0%"	"90"
0.1126	5	100	0	0	"48=0.0626, 19=-0.5532, 107=-0.3407, 4=0.0536, 94=0.3149, 117=0.1358, 110=0.3126, 102=0.0975, 103=0.3363, 105=0.0495, 95=0.0073, 118=0.6698, 96=0.318"	"0=65.0%, 1=27.0%, 2=8.0%, 3=0.0%"	"93"
0.401	1	20	0	0	"2=0.3389, 172=0.8674, 171=0.4588, 48=-0.0609"	"0=95.0%, 1=0.0%, 2=0.0%, 3=5.0%"	"167"
0.1195	2	40	0	0	"48=0.3613, 118=0.2418, 117=-0.3432, 4=-0.093, 93=0.0073, 94=0.4245, 96=0.2375"	"0=35.0%, 1=15.0%, 2=0.0%, 3=50.0%"	"95"
0.2043	2	40	0	0	"48=0.1455, 115=0.2705, 4=-0.19, 93=0.3149, 95=0.4245, 96=0.2606"	"0=12.5%, 1=25.0%, 2=37.5%, 3=25.0%"	"94"
0.0943	1	20	0	0	"98=0.2866, 4=-0.1579, 48=-0.0122, 96=0.2606"	"0=30.0%, 1=35.0%, 2=15.0%, 3=20.0%"	"97"
0.3252	8	160	0	0	"115=-0.1121, 119=0.523, 48=0.0208, 114=0.5929, 100=0.7188, 4=0.375, 118=0.5092, 99=0.0, 98=0.4768, 117=-0.0442, 110=0.0167, 113=0.4359, 112=0.2876, 102=0.6761, 103=0.3981, 93=0.318, 101=0.6819, 95=0.2375, 94=0.2606, 105=0.1318"	"0=72.5%, 1=21.3%, 2=3.8%, 3=2.5%"	"96"
0.46	1	29	0	0	"18=0.7076, 13=0.2344, 12=0.4407, 16=0.4572"	"0=75.9%, 1=10.3%, 2=13.8%, 3=0.0%"	"11"
